FID,x_ft,y_ft
844,2504613.01,1676581.351
845,2504601.62,1676591.112
846,2504590.23,1676600.873
847,2504578.841,1676610.634
848,2504567.451,1676620.395
849,2504556.061,1676630.155
850,2504544.671,1676639.916
851,2504533.282,1676649.677
852,2504521.892,1676659.438
853,2504510.502,1676669.198
854,2504499.112,1676678.959
855,2504487.723,1676688.72
856,2504476.333,1676698.481
857,2504464.943,1676708.242
858,2504453.553,1676718.002
859,2504442.164,1676727.763
860,2504430.774,1676737.524
861,2504419.384,1676747.285
862,2504407.994,1676757.045
863,2504396.605,1676766.806
864,2504385.215,1676776.567
865,2504373.825,1676786.328
866,2504362.435,1676796.088
867,2504351.046,1676805.849
868,2504339.656,1676815.61
869,2504328.266,1676825.371
870,2504316.876,1676835.132
871,2504305.487,1676844.892
872,2504294.097,1676854.653
873,2504282.707,1676864.414
874,2504271.317,1676874.175
875,2504259.928,1676883.935
876,2504248.538,1676893.696
877,2504237.148,1676903.457
878,2504225.759,1676913.218
879,2504214.369,1676922.979
880,2504202.979,1676932.739
881,2504191.589,1676942.5
882,2504180.2,1676952.261
883,2504168.81,1676962.022
884,2504157.42,1676971.782
885,2504146.03,1676981.543
886,2504134.641,1676991.304
887,2504123.251,1677001.065
888,2504111.87,1677010.836
889,2504100.512,1677020.634
890,2504089.155,1677030.432
891,2504077.797,1677040.23
892,2504066.439,1677050.028
893,2504055.165,1677059.922
894,2504043.937,1677069.868
895,2504032.708,1677079.813
896,2504021.479,1677089.759
897,2504010.275,1677099.732
898,2503999.083,1677109.719
899,2503987.891,1677119.706
900,2503976.699,1677129.693
901,2503965.507,1677139.68
902,2503954.315,1677149.667
903,2503943.123,1677159.654
904,2503931.931,1677169.641
905,2503920.739,1677179.628
906,2503909.547,1677189.614
907,2503898.355,1677199.601
908,2503887.163,1677209.588
909,2503875.971,1677219.575
910,2503864.779,1677229.562
911,2503853.587,1677239.549
912,2503842.395,1677249.536
913,2503831.203,1677259.523
914,2503820.011,1677269.51
915,2503808.819,1677279.497
916,2503797.627,1677289.484
917,2503786.435,1677299.471
918,2503775.243,1677309.458
919,2503764.051,1677319.444
920,2503752.859,1677329.431
921,2503741.667,1677339.418
922,2503730.475,1677349.405
923,2503719.283,1677359.392
924,2503708.092,1677369.379
925,2503696.9,1677379.366
926,2503685.708,1677389.353
927,2503674.516,1677399.34
928,2503663.324,1677409.327
929,2503652.132,1677419.314
